date,LinearRegression,SVR,XGBRegressor,RandomForestRegressor,Meta_Model,pr_sales_in_units,st_id,pr_sku_id
2023-06-13,5.9999999999999885,6.2257804129003365,5.999972,6.0,6.011816839567584,6.0,10,880
2023-06-13,6.9999999999999325,8.697604078941659,6.9999523,7.0,6.9957243143974726,7.0,1,713
2023-06-13,3.0000000000000155,3.736413206124535,3.0000606,3.0,2.9991228388588147,3.0,7,1254
2023-06-13,2.000000000000005,2.9892047411285816,2.0000806,2.0,2.0013719543611006,2.0,3,1771
2023-06-13,1.0000000000000098,1.8257852153370067,1.0001347,1.0,1.0080723502323672,1.0,9,382
2023-06-13,2.0000000000000093,2.8076658610953675,2.0000806,2.0,2.0013719543611006,2.0,11,667
2023-06-13,1.0000000000000062,1.8002705668077343,1.0001347,1.0,1.0080723502323672,1.0,4,969
2023-06-13,11.0,11.546952131840555,10.99985,11.0,10.777308927631992,11.0,7,781
2023-06-13,1.9999999999999978,2.8554479963307315,2.0000806,2.0,2.0013719543611006,2.0,9,1555
2023-06-13,2.0000000000000098,2.8765526335824063,2.0000806,2.0,2.0013719543611006,2.0,3,242
2023-06-13,1.0000000000000009,1.9104074924444436,1.0001347,1.0,1.0080723502323672,1.0,11,1163
2023-06-13,1.9999999999999973,2.6799482930848875,2.0000806,2.0,2.0013719543611006,2.0,4,1343
2023-06-13,5.999999999999996,6.499411586457313,5.999972,6.0,6.011816839567584,6.0,9,716
2023-06-13,1.000000000000016,1.9636079663198007,1.0001347,1.0,1.0080723502323672,1.0,9,300
2023-06-13,4.000000000000002,4.784764617945942,4.0000405,4.0,3.9987098920799893,4.0,9,803
2023-06-13,1.0000000000000089,2.0877110660764835,1.0001347,1.0,1.0080723502323672,1.0,3,1062
2023-06-13,2.0000000000000004,2.8103267957577973,2.0000806,2.0,2.0013719543611006,2.0,1,1831
2023-06-13,5.000000000000006,5.707575022349282,5.000005,5.0,4.985814491607673,5.0,4,1420
2023-06-13,1.0000000000000036,1.875095598236534,1.0001347,1.0,1.0080723502323672,1.0,1,765
2023-06-13,1.0000000000000098,1.7599176856488103,1.0001347,1.0,1.0080723502323672,1.0,11,665
2023-06-13,2.9999999999999782,3.9606153249842038,3.0000606,3.0,2.9991228388588147,3.0,10,1618
2023-06-13,9.0,9.230437953947416,8.999895,9.0,9.085946314283538,9.0,11,328
2023-06-13,1.000000000000016,1.8827491204647337,1.0001347,1.0,1.0080723502323672,1.0,4,1146
2023-06-13,5.000000000000009,5.711221052312855,5.000005,5.0,4.985814491607673,5.0,11,534
2023-06-13,1.0000000000000213,1.9271682500315723,1.0001347,1.0,1.0080723502323672,1.0,10,461
2023-06-13,1.0000000000000133,1.8457760673563435,1.0001347,1.0,1.0080723502323672,1.0,11,1478
2023-06-13,3.0000000000000058,3.570518906252188,3.0000606,3.0,2.9991228388588147,3.0,3,1787
2023-06-13,2.000000000000015,3.0685689549109707,2.0000806,2.0,2.0013719543611006,2.0,10,1727
2023-06-13,3.9999999999999982,4.56373966338402,4.0000405,4.0,3.9987098920799893,4.0,9,1706
2023-06-13,1.9999999999999996,3.089225678593351,2.0000806,2.0,2.0013719543611006,2.0,9,671
2023-06-13,3.000000000000009,3.5027292172745366,3.0000606,3.0,2.9991228388588147,3.0,9,680
2023-06-13,2.000000000000009,2.7577761906550116,2.0000806,2.0,2.0013719543611006,2.0,7,1447
2023-06-13,3.000000000000007,3.736545454612049,3.0000606,3.0,2.9991228388588147,3.0,4,1668
2023-06-13,1.0000000000000169,1.855644946156012,1.0001347,1.0,1.0080723502323672,1.0,4,1900
2023-06-13,2.000000000000013,2.633012656922695,2.0000806,2.0,2.0013719543611006,2.0,9,1155
2023-06-13,2.0000000000000195,2.8371488660417583,2.0000806,2.0,2.0013719543611006,2.0,11,1659
2023-06-13,2.000000000000001,2.671272653751682,2.0000806,2.0,2.0013719543611006,2.0,9,626
2023-06-13,2.0000000000000018,2.830838135312119,2.0000806,2.0,2.0013719543611006,2.0,9,1525
2023-06-13,3.0000000000000018,3.687120942069834,3.0000606,3.0,2.9991228388588147,3.0,9,1644
2023-06-13,8.000000000000014,8.279638697818122,7.99993,8.0,7.9138273431016755,8.0,10,1081
2023-06-13,1.9999999999999702,3.3839079121968254,2.0000806,2.0,2.0013719543611006,2.0,10,507
2023-06-13,31.999999999999904,18.80749633900945,31.999306,31.95777777777778,32.414260177415294,32.0,10,62
2023-06-13,1.000000000000015,1.778017923734728,1.0001347,1.0,1.0080723502323672,1.0,7,17
2023-06-13,13.999999999999991,14.099627919564476,13.999763,14.0,13.981937209413505,14.0,9,657
2023-06-13,3.9999999999999885,4.230472402205677,4.0000405,4.0,3.9987098920799893,4.0,4,1330
2023-06-13,2.0000000000000124,2.7790787834701973,2.0000806,2.0,2.0013719543611006,2.0,1,949
2023-06-13,1.000000000000015,1.8385395274217764,1.0001347,1.0,1.0080723502323672,1.0,1,552
2023-06-13,1.0000000000000053,1.9368483128112786,1.0001347,1.0,1.0080723502323672,1.0,1,1529
2023-06-13,2.0000000000000075,2.7703000939466715,2.0000806,2.0,2.0013719543611006,2.0,1,1148
